                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.3725,                0.73983,                 1.6108,                 1.4645,                0.86618,                  1.671,                0.91159,                0.90854,                0.94648,                0.55897,                 1.3488,                 0.9625,                 1.7985,                 1.3921,                 1.0105,                 1.8452,              0.0091486,              0.0091486,              0.0091486
                     46,                 1.3525,                0.73937,                 1.5953,                 1.4479,                0.83874,                  1.651,                0.90113,                 0.9448,                0.94768,                0.60592,                 1.2429,                0.64197,                 1.7036,                 1.2951,                0.57055,                 1.7279,              0.0091288,              0.0091288,              0.0091288
                     47,                 1.3747,                0.73414,                 1.6033,                 1.4667,                0.84785,                 1.6532,                0.89674,                0.95321,                0.95093,                0.55695,                 1.4055,                0.82545,                 1.8467,                 1.4613,                 1.1072,                 1.8945,               0.009109,               0.009109,               0.009109
                     48,                 1.3674,                0.76285,                 1.6191,                 1.4541,                0.87601,                 1.6685,                0.88815,                0.91463,                0.93503,                0.57042,                 1.3084,                0.79077,                 1.7563,                 1.3571,                 1.0352,                 1.8277,              0.0090892,              0.0090892,              0.0090892
                     49,                 1.3329,                0.73097,                 1.5852,                 1.4181,                0.87466,                 1.6377,                0.87073,                0.92073,                0.94534,                0.56517,                 1.3193,                0.75848,                 1.7556,                 1.3662,                 1.0898,                 1.8063,              0.0090694,              0.0090694,              0.0090694
                     50,                 1.3261,                0.70823,                 1.5625,                 1.4251,                0.80052,                 1.6228,                0.86212,                0.91506,                0.93441,                0.57209,                 1.3087,                0.67147,                 1.7637,                  1.373,                0.84185,                 1.8138,              0.0090496,              0.0090496,              0.0090496
                     51,                 1.3231,                0.71873,                 1.5719,                 1.4011,                0.84375,                 1.6211,                0.88694,                0.95732,                 0.9565,                0.61438,                 1.2457,                0.57172,                 1.6907,                  1.275,                0.56205,                 1.7333,              0.0090298,              0.0090298,              0.0090298
                     52,                 1.3365,                0.73611,                 1.5737,                 1.4343,                0.83829,                 1.6248,                0.83622,                0.89634,                0.89206,                0.51627,                  1.451,                 1.5581,                 1.9465,                 1.4747,                 3.5669,                 1.9728,                0.00901,                0.00901,                0.00901
                     53,                   1.33,                0.72177,                  1.579,                 1.4201,                0.82319,                 1.6238,                0.89605,                0.89351,                0.92722,                0.48332,                 1.5594,                0.68434,                 2.1105,                 1.5687,                0.72122,                 2.0871,              0.0089902,              0.0089902,              0.0089902
                     54,                  1.336,                 0.7296,                 1.5907,                 1.4225,                0.79871,                 1.6404,                0.88665,                0.94512,                0.94178,                0.54895,                 1.4042,                0.66441,                 1.8714,                 1.4439,                0.75145,                 1.9129,              0.0089704,              0.0089704,              0.0089704
